Name,Ascension,Level,Hp,Atk,Def
Shorekeeper,0,1,1337.0,23.0,90.0
Shorekeeper,0,2,1449.5754,24.9366,97.407
Shorekeeper,0,3,1562.2845,26.8755,104.823
Shorekeeper,0,4,1674.9936,28.8144,112.239
Shorekeeper,0,5,1787.569,30.751,119.655
Shorekeeper,0,6,1900.2781,32.6899,127.071
Shorekeeper,0,7,2012.9872,34.6288,134.487
Shorekeeper,0,8,2125.5626,36.5654,141.903
Shorekeeper,0,9,2238.2717,38.5043,149.319
Shorekeeper,0,10,2350.9808,40.4432,156.735
Shorekeeper,0,11,2463.5562,42.3798,164.151
Shorekeeper,0,12,2576.2653,44.3187,171.567
Shorekeeper,0,13,2688.9744,46.2576,178.983
Shorekeeper,0,14,2801.6835,48.1965,186.399
Shorekeeper,0,15,2914.2589,50.1331,193.815
Shorekeeper,0,16,3026.968,52.072,201.231
Shorekeeper,0,17,3139.6771,54.0109,208.647
Shorekeeper,0,18,3252.2525,55.9475,216.063
Shorekeeper,0,19,3364.9616,57.8864,223.479
Shorekeeper,0,20,3477.6707,59.8253,230.895
Shorekeeper,1,20,4368.9149,77.0753,289.224
Shorekeeper,1,21,4481.624,79.0119,296.64
Shorekeeper,1,22,4594.3331,80.9508,304.056
Shorekeeper,1,23,4706.9085,82.8897,311.472
Shorekeeper,1,24,4819.6176,84.8286,318.888
Shorekeeper,1,25,4932.3267,86.7652,326.304
Shorekeeper,1,26,5045.0358,88.7041,333.72
Shorekeeper,1,27,5157.6112,90.643,341.136
Shorekeeper,1,28,5270.3203,92.5796,348.552
Shorekeeper,1,29,5383.0294,94.5185,355.968
Shorekeeper,1,30,5495.6048,96.4574,363.384
Shorekeeper,1,31,5608.3139,98.394,370.8
Shorekeeper,1,32,5721.023,100.3329,378.216
Shorekeeper,1,33,5833.5984,102.2718,385.632
Shorekeeper,1,34,5946.3075,104.2084,393.048
Shorekeeper,1,35,6059.0166,106.1473,400.464
Shorekeeper,1,36,6171.7257,108.0862,407.88
Shorekeeper,1,37,6284.3011,110.0251,415.296
Shorekeeper,1,38,6397.0102,111.9617,422.712
Shorekeeper,1,39,6509.7193,113.9006,430.128
Shorekeeper,1,40,6622.2947,115.8395,437.544
Shorekeeper,2,40,7513.6726,133.0895,495.873
Shorekeeper,2,41,7626.3817,135.0261,503.289
Shorekeeper,2,42,7738.9571,136.965,510.705
Shorekeeper,2,43,7851.6662,138.9039,518.121
Shorekeeper,2,44,7964.3753,140.8405,525.537
Shorekeeper,2,45,8076.9507,142.7794,532.953
Shorekeeper,2,46,8189.6598,144.7183,540.369
Shorekeeper,2,47,8302.3689,146.6572,547.785
Shorekeeper,2,48,8415.078,148.5938,555.201
Shorekeeper,2,49,8527.6534,150.5327,562.617
Shorekeeper,2,50,8640.3625,152.4716,570.033
Shorekeeper,3,50,9531.7404,169.7216,628.362
Shorekeeper,3,51,9644.3158,171.6582,635.778
Shorekeeper,3,52,9757.0249,173.5971,643.194
Shorekeeper,3,53,9869.734,175.536,650.61
Shorekeeper,3,54,9982.3094,177.4726,658.026
Shorekeeper,3,55,10095.0185,179.4115,665.442
Shorekeeper,3,56,10207.7276,181.3504,672.858
Shorekeeper,3,57,10320.4367,183.2893,680.274
Shorekeeper,3,58,10433.0121,185.2259,687.69
Shorekeeper,3,59,10545.7212,187.1648,695.106
Shorekeeper,3,60,10658.4303,189.1037,702.522
Shorekeeper,4,60,11549.6745,206.3537,760.86
Shorekeeper,4,61,11662.3836,208.2903,768.276
Shorekeeper,4,62,11775.0927,210.2292,775.692
Shorekeeper,4,63,11887.6681,212.1681,783.108
Shorekeeper,4,64,12000.3772,214.1047,790.524
Shorekeeper,4,65,12113.0863,216.0436,797.94
Shorekeeper,4,66,12225.6617,217.9825,805.347
Shorekeeper,4,67,12338.3708,219.9191,812.763
Shorekeeper,4,68,12451.0799,221.858,820.179
Shorekeeper,4,69,12563.789,223.7969,827.595
Shorekeeper,4,70,12676.3644,225.7358,835.011
Shorekeeper,5,70,13567.7423,237.2358,893.349
Shorekeeper,5,71,13680.4514,239.1724,900.765
Shorekeeper,5,72,13793.0268,241.1113,908.181
Shorekeeper,5,73,13905.7359,243.0502,915.597
Shorekeeper,5,74,14018.445,244.9868,923.013
Shorekeeper,5,75,14131.0204,246.9257,930.429
Shorekeeper,5,76,14243.7295,248.8646,937.845
Shorekeeper,5,77,14356.4386,250.8012,945.261
Shorekeeper,5,78,14469.014,252.7401,952.677
Shorekeeper,5,79,14581.7231,254.679,960.093
Shorekeeper,5,80,14694.4322,256.6179,967.509
Shorekeeper,6,80,15585.8101,268.1179,1025.838
Shorekeeper,6,81,15698.3855,270.0545,1033.254
Shorekeeper,6,82,15811.0946,271.9934,1040.67
Shorekeeper,6,83,15923.8037,273.9323,1048.086
Shorekeeper,6,84,16036.3791,275.8689,1055.502
Shorekeeper,6,85,16149.0882,277.8078,1062.918
Shorekeeper,6,86,16261.7973,279.7467,1070.334
Shorekeeper,6,87,16374.3727,281.6833,1077.75
Shorekeeper,6,88,16487.0818,283.6222,1085.166
Shorekeeper,6,89,16599.7909,285.5611,1092.582
Shorekeeper,6,90,16712.5,287.5,1099.998
