Name,Ascension,Level,Hp,Atk,Def
Taoqi,0,1,716.0,18.0,128.0
Taoqi,0,2,776.2872,19.5156,138.5344
Taoqi,0,3,836.646,21.033,149.0816
Taoqi,0,4,897.0048,22.5504,159.6288
Taoqi,0,5,957.292,24.066,170.176
Taoqi,0,6,1017.6508,25.5834,180.7232
Taoqi,0,7,1078.0096,27.1008,191.2704
Taoqi,0,8,1138.2968,28.6164,201.8176
Taoqi,0,9,1198.6556,30.1338,212.3648
Taoqi,0,10,1259.0144,31.6512,222.912
Taoqi,0,11,1319.3016,33.1668,233.4592
Taoqi,0,12,1379.6604,34.6842,244.0064
Taoqi,0,13,1440.0192,36.2016,254.5536
Taoqi,0,14,1500.378,37.719,265.1008
Taoqi,0,15,1560.6652,39.2346,275.648
Taoqi,0,16,1621.024,40.752,286.1952
Taoqi,0,17,1681.3828,42.2694,296.7424
Taoqi,0,18,1741.67,43.785,307.2896
Taoqi,0,19,1802.0288,45.3024,317.8368
Taoqi,0,20,1862.3876,46.8198,328.384
Taoqi,1,20,2339.6732,60.3198,411.3408
Taoqi,1,21,2400.032,61.8354,421.888
Taoqi,1,22,2460.3908,63.3528,432.4352
Taoqi,1,23,2520.678,64.8702,442.9824
Taoqi,1,24,2581.0368,66.3876,453.5296
Taoqi,1,25,2641.3956,67.9032,464.0768
Taoqi,1,26,2701.7544,69.4206,474.624
Taoqi,1,27,2762.0416,70.938,485.1712
Taoqi,1,28,2822.4004,72.4536,495.7184
Taoqi,1,29,2882.7592,73.971,506.2656
Taoqi,1,30,2943.0464,75.4884,516.8128
Taoqi,1,31,3003.4052,77.004,527.36
Taoqi,1,32,3063.764,78.5214,537.9072
Taoqi,1,33,3124.0512,80.0388,548.4544
Taoqi,1,34,3184.41,81.5544,559.0016
Taoqi,1,35,3244.7688,83.0718,569.5488
Taoqi,1,36,3305.1276,84.5892,580.096
Taoqi,1,37,3365.4148,86.1066,590.6432
Taoqi,1,38,3425.7736,87.6222,601.1904
Taoqi,1,39,3486.1324,89.1396,611.7376
Taoqi,1,40,3546.4196,90.657,622.2848
Taoqi,2,40,4023.7768,104.157,705.2416
Taoqi,2,41,4084.1356,105.6726,715.7888
Taoqi,2,42,4144.4228,107.19,726.336
Taoqi,2,43,4204.7816,108.7074,736.8832
Taoqi,2,44,4265.1404,110.223,747.4304
Taoqi,2,45,4325.4276,111.7404,757.9776
Taoqi,2,46,4385.7864,113.2578,768.5248
Taoqi,2,47,4446.1452,114.7752,779.072
Taoqi,2,48,4506.504,116.2908,789.6192
Taoqi,2,49,4566.7912,117.8082,800.1664
Taoqi,2,50,4627.15,119.3256,810.7136
Taoqi,3,50,5104.5072,132.8256,893.6704
Taoqi,3,51,5164.7944,134.3412,904.2176
Taoqi,3,52,5225.1532,135.8586,914.7648
Taoqi,3,53,5285.512,137.376,925.312
Taoqi,3,54,5345.7992,138.8916,935.8592
Taoqi,3,55,5406.158,140.409,946.4064
Taoqi,3,56,5466.5168,141.9264,956.9536
Taoqi,3,57,5526.8756,143.4438,967.5008
Taoqi,3,58,5587.1628,144.9594,978.048
Taoqi,3,59,5647.5216,146.4768,988.5952
Taoqi,3,60,5707.8804,147.9942,999.1424
Taoqi,4,60,6185.166,161.4942,1082.112
Taoqi,4,61,6245.5248,163.0098,1092.6592
Taoqi,4,62,6305.8836,164.5272,1103.2064
Taoqi,4,63,6366.1708,166.0446,1113.7536
Taoqi,4,64,6426.5296,167.5602,1124.3008
Taoqi,4,65,6486.8884,169.0776,1134.848
Taoqi,4,66,6547.1756,170.595,1145.3824
Taoqi,4,67,6607.5344,172.1106,1155.9296
Taoqi,4,68,6667.8932,173.628,1166.4768
Taoqi,4,69,6728.252,175.1454,1177.024
Taoqi,4,70,6788.5392,176.6628,1187.5712
Taoqi,5,70,7265.8964,185.6628,1270.5408
Taoqi,5,71,7326.2552,187.1784,1281.088
Taoqi,5,72,7386.5424,188.6958,1291.6352
Taoqi,5,73,7446.9012,190.2132,1302.1824
Taoqi,5,74,7507.26,191.7288,1312.7296
Taoqi,5,75,7567.5472,193.2462,1323.2768
Taoqi,5,76,7627.906,194.7636,1333.824
Taoqi,5,77,7688.2648,196.2792,1344.3712
Taoqi,5,78,7748.552,197.7966,1354.9184
Taoqi,5,79,7808.9108,199.314,1365.4656
Taoqi,5,80,7869.2696,200.8314,1376.0128
Taoqi,6,80,8346.6268,209.8314,1458.9696
Taoqi,6,81,8406.914,211.347,1469.5168
Taoqi,6,82,8467.2728,212.8644,1480.064
Taoqi,6,83,8527.6316,214.3818,1490.6112
Taoqi,6,84,8587.9188,215.8974,1501.1584
Taoqi,6,85,8648.2776,217.4148,1511.7056
Taoqi,6,86,8708.6364,218.9322,1522.2528
Taoqi,6,87,8768.9236,220.4478,1532.8
Taoqi,6,88,8829.2824,221.9652,1543.3472
Taoqi,6,89,8889.6412,223.4826,1553.8944
Taoqi,6,90,8950.0,225.0,1564.4416
