Name,Ascension,Level,Hp,Atk,Def
Verina,0,1,1139.0,27.0,90.0
Verina,0,2,1234.9038,29.2734,97.407
Verina,0,3,1330.9215,31.5495,104.823
Verina,0,4,1426.9392,33.8256,112.239
Verina,0,5,1522.843,36.099,119.655
Verina,0,6,1618.8607,38.3751,127.071
Verina,0,7,1714.8784,40.6512,134.487
Verina,0,8,1810.7822,42.9246,141.903
Verina,0,9,1906.7999,45.2007,149.319
Verina,0,10,2002.8176,47.4768,156.735
Verina,0,11,2098.7214,49.7502,164.151
Verina,0,12,2194.7391,52.0263,171.567
Verina,0,13,2290.7568,54.3024,178.983
Verina,0,14,2386.7745,56.5785,186.399
Verina,0,15,2482.6783,58.8519,193.815
Verina,0,16,2578.696,61.128,201.231
Verina,0,17,2674.7137,63.4041,208.647
Verina,0,18,2770.6175,65.6775,216.063
Verina,0,19,2866.6352,67.9536,223.479
Verina,0,20,2962.6529,70.2297,230.895
Verina,1,20,3721.9103,90.4797,289.224
Verina,1,21,3817.928,92.7531,296.64
Verina,1,22,3913.9457,95.0292,304.056
Verina,1,23,4009.8495,97.3053,311.472
Verina,1,24,4105.8672,99.5814,318.888
Verina,1,25,4201.8849,101.8548,326.304
Verina,1,26,4297.9026,104.1309,333.72
Verina,1,27,4393.8064,106.407,341.136
Verina,1,28,4489.8241,108.6804,348.552
Verina,1,29,4585.8418,110.9565,355.968
Verina,1,30,4681.7456,113.2326,363.384
Verina,1,31,4777.7633,115.506,370.8
Verina,1,32,4873.781,117.7821,378.216
Verina,1,33,4969.6848,120.0582,385.632
Verina,1,34,5065.7025,122.3316,393.048
Verina,1,35,5161.7202,124.6077,400.464
Verina,1,36,5257.7379,126.8838,407.88
Verina,1,37,5353.6417,129.1599,415.296
Verina,1,38,5449.6594,131.4333,422.712
Verina,1,39,5545.6771,133.7094,430.128
Verina,1,40,5641.5809,135.9855,437.544
Verina,2,40,6400.9522,156.2355,495.873
Verina,2,41,6496.9699,158.5089,503.289
Verina,2,42,6592.8737,160.785,510.705
Verina,2,43,6688.8914,163.0611,518.121
Verina,2,44,6784.9091,165.3345,525.537
Verina,2,45,6880.8129,167.6106,532.953
Verina,2,46,6976.8306,169.8867,540.369
Verina,2,47,7072.8483,172.1628,547.785
Verina,2,48,7168.866,174.4362,555.201
Verina,2,49,7264.7698,176.7123,562.617
Verina,2,50,7360.7875,178.9884,570.033
Verina,3,50,8120.1588,199.2384,628.362
Verina,3,51,8216.0626,201.5118,635.778
Verina,3,52,8312.0803,203.7879,643.194
Verina,3,53,8408.098,206.064,650.61
Verina,3,54,8504.0018,208.3374,658.026
Verina,3,55,8600.0195,210.6135,665.442
Verina,3,56,8696.0372,212.8896,672.858
Verina,3,57,8792.0549,215.1657,680.274
Verina,3,58,8887.9587,217.4391,687.69
Verina,3,59,8983.9764,219.7152,695.106
Verina,3,60,9079.9941,221.9913,702.522
Verina,4,60,9839.2515,242.2413,760.86
Verina,4,61,9935.2692,244.5147,768.276
Verina,4,62,10031.2869,246.7908,775.692
Verina,4,63,10127.1907,249.0669,783.108
Verina,4,64,10223.2084,251.3403,790.524
Verina,4,65,10319.2261,253.6164,797.94
Verina,4,66,10415.1299,255.8925,805.347
Verina,4,67,10511.1476,258.1659,812.763
Verina,4,68,10607.1653,260.442,820.179
Verina,4,69,10703.183,262.7181,827.595
Verina,4,70,10799.0868,264.9942,835.011
Verina,5,70,11558.4581,278.4942,893.349
Verina,5,71,11654.4758,280.7676,900.765
Verina,5,72,11750.3796,283.0437,908.181
Verina,5,73,11846.3973,285.3198,915.597
Verina,5,74,11942.415,287.5932,923.013
Verina,5,75,12038.3188,289.8693,930.429
Verina,5,76,12134.3365,292.1454,937.845
Verina,5,77,12230.3542,294.4188,945.261
Verina,5,78,12326.258,296.6949,952.677
Verina,5,79,12422.2757,298.971,960.093
Verina,5,80,12518.2934,301.2471,967.509
Verina,6,80,13277.6647,314.7471,1025.838
Verina,6,81,13373.5685,317.0205,1033.254
Verina,6,82,13469.5862,319.2966,1040.67
Verina,6,83,13565.6039,321.5727,1048.086
Verina,6,84,13661.5077,323.8461,1055.502
Verina,6,85,13757.5254,326.1222,1062.918
Verina,6,86,13853.5431,328.3983,1070.334
Verina,6,87,13949.4469,330.6717,1077.75
Verina,6,88,14045.4646,332.9478,1085.166
Verina,6,89,14141.4823,335.2239,1092.582
Verina,6,90,14237.5,337.5,1099.998
