Name,Ascension,Level,Hp,Atk,Def
Xiangli Yao,0,1,850.0,34.0,100.0
Xiangli Yao,0,2,921.57,36.8628,108.23
Xiangli Yao,0,3,993.225,39.729,116.47
Xiangli Yao,0,4,1064.88,42.5952,124.71
Xiangli Yao,0,5,1136.45,45.458,132.95
Xiangli Yao,0,6,1208.105,48.3242,141.19
Xiangli Yao,0,7,1279.76,51.1904,149.43
Xiangli Yao,0,8,1351.33,54.0532,157.67
Xiangli Yao,0,9,1422.985,56.9194,165.91
Xiangli Yao,0,10,1494.64,59.7856,174.15
Xiangli Yao,0,11,1566.21,62.6484,182.39
Xiangli Yao,0,12,1637.865,65.5146,190.63
Xiangli Yao,0,13,1709.52,68.3808,198.87
Xiangli Yao,0,14,1781.175,71.247,207.11
Xiangli Yao,0,15,1852.745,74.1098,215.35
Xiangli Yao,0,16,1924.4,76.976,223.59
Xiangli Yao,0,17,1996.055,79.8422,231.83
Xiangli Yao,0,18,2067.625,82.705,240.07
Xiangli Yao,0,19,2139.28,85.5712,248.31
Xiangli Yao,0,20,2210.935,88.4374,256.55
Xiangli Yao,1,20,2777.545,113.9374,321.36
Xiangli Yao,1,21,2849.2,116.8002,329.6
Xiangli Yao,1,22,2920.855,119.6664,337.84
Xiangli Yao,1,23,2992.425,122.5326,346.08
Xiangli Yao,1,24,3064.08,125.3988,354.32
Xiangli Yao,1,25,3135.735,128.2616,362.56
Xiangli Yao,1,26,3207.39,131.1278,370.8
Xiangli Yao,1,27,3278.96,133.994,379.04
Xiangli Yao,1,28,3350.615,136.8568,387.28
Xiangli Yao,1,29,3422.27,139.723,395.52
Xiangli Yao,1,30,3493.84,142.5892,403.76
Xiangli Yao,1,31,3565.495,145.452,412.0
Xiangli Yao,1,32,3637.15,148.3182,420.24
Xiangli Yao,1,33,3708.72,151.1844,428.48
Xiangli Yao,1,34,3780.375,154.0472,436.72
Xiangli Yao,1,35,3852.03,156.9134,444.96
Xiangli Yao,1,36,3923.685,159.7796,453.2
Xiangli Yao,1,37,3995.255,162.6458,461.44
Xiangli Yao,1,38,4066.91,165.5086,469.68
Xiangli Yao,1,39,4138.565,168.3748,477.92
Xiangli Yao,1,40,4210.135,171.241,486.16
Xiangli Yao,2,40,4776.83,196.741,550.97
Xiangli Yao,2,41,4848.485,199.6038,559.21
Xiangli Yao,2,42,4920.055,202.47,567.45
Xiangli Yao,2,43,4991.71,205.3362,575.69
Xiangli Yao,2,44,5063.365,208.199,583.93
Xiangli Yao,2,45,5134.935,211.0652,592.17
Xiangli Yao,2,46,5206.59,213.9314,600.41
Xiangli Yao,2,47,5278.245,216.7976,608.65
Xiangli Yao,2,48,5349.9,219.6604,616.89
Xiangli Yao,2,49,5421.47,222.5266,625.13
Xiangli Yao,2,50,5493.125,225.3928,633.37
Xiangli Yao,3,50,6059.82,250.8928,698.18
Xiangli Yao,3,51,6131.39,253.7556,706.42
Xiangli Yao,3,52,6203.045,256.6218,714.66
Xiangli Yao,3,53,6274.7,259.488,722.9
Xiangli Yao,3,54,6346.27,262.3508,731.14
Xiangli Yao,3,55,6417.925,265.217,739.38
Xiangli Yao,3,56,6489.58,268.0832,747.62
Xiangli Yao,3,57,6561.235,270.9494,755.86
Xiangli Yao,3,58,6632.805,273.8122,764.1
Xiangli Yao,3,59,6704.46,276.6784,772.34
Xiangli Yao,3,60,6776.115,279.5446,780.58
Xiangli Yao,4,60,7342.725,305.0446,845.4
Xiangli Yao,4,61,7414.38,307.9074,853.64
Xiangli Yao,4,62,7486.035,310.7736,861.88
Xiangli Yao,4,63,7557.605,313.6398,870.12
Xiangli Yao,4,64,7629.26,316.5026,878.36
Xiangli Yao,4,65,7700.915,319.3688,886.6
Xiangli Yao,4,66,7772.485,322.235,894.83
Xiangli Yao,4,67,7844.14,325.0978,903.07
Xiangli Yao,4,68,7915.795,327.964,911.31
Xiangli Yao,4,69,7987.45,330.8302,919.55
Xiangli Yao,4,70,8059.02,333.6964,927.79
Xiangli Yao,5,70,8625.715,350.6964,992.61
Xiangli Yao,5,71,8697.37,353.5592,1000.85
Xiangli Yao,5,72,8768.94,356.4254,1009.09
Xiangli Yao,5,73,8840.595,359.2916,1017.33
Xiangli Yao,5,74,8912.25,362.1544,1025.57
Xiangli Yao,5,75,8983.82,365.0206,1033.81
Xiangli Yao,5,76,9055.475,367.8868,1042.05
Xiangli Yao,5,77,9127.13,370.7496,1050.29
Xiangli Yao,5,78,9198.7,373.6158,1058.53
Xiangli Yao,5,79,9270.355,376.482,1066.77
Xiangli Yao,5,80,9342.01,379.3482,1075.01
Xiangli Yao,6,80,9908.705,396.3482,1139.82
Xiangli Yao,6,81,9980.275,399.211,1148.06
Xiangli Yao,6,82,10051.93,402.0772,1156.3
Xiangli Yao,6,83,10123.585,404.9434,1164.54
Xiangli Yao,6,84,10195.155,407.8062,1172.78
Xiangli Yao,6,85,10266.81,410.6724,1181.02
Xiangli Yao,6,86,10338.465,413.5386,1189.26
Xiangli Yao,6,87,10410.035,416.4014,1197.5
Xiangli Yao,6,88,10481.69,419.2676,1205.74
Xiangli Yao,6,89,10553.345,422.1338,1213.98
Xiangli Yao,6,90,10625.0,425.0,1222.22
