Name,Ascension,Level,Hp,Atk,Def
Yangyang,0,1,816.0,20.0,90.0
Yangyang,0,2,884.7072,21.684,97.407
Yangyang,0,3,953.496,23.37,104.823
Yangyang,0,4,1022.2848,25.056,112.239
Yangyang,0,5,1090.992,26.74,119.655
Yangyang,0,6,1159.7808,28.426,127.071
Yangyang,0,7,1228.5696,30.112,134.487
Yangyang,0,8,1297.2768,31.796,141.903
Yangyang,0,9,1366.0656,33.482,149.319
Yangyang,0,10,1434.8544,35.168,156.735
Yangyang,0,11,1503.5616,36.852,164.151
Yangyang,0,12,1572.3504,38.538,171.567
Yangyang,0,13,1641.1392,40.224,178.983
Yangyang,0,14,1709.928,41.91,186.399
Yangyang,0,15,1778.6352,43.594,193.815
Yangyang,0,16,1847.424,45.28,201.231
Yangyang,0,17,1916.2128,46.966,208.647
Yangyang,0,18,1984.92,48.65,216.063
Yangyang,0,19,2053.7088,50.336,223.479
Yangyang,0,20,2122.4976,52.022,230.895
Yangyang,1,20,2666.4432,67.022,289.224
Yangyang,1,21,2735.232,68.706,296.64
Yangyang,1,22,2804.0208,70.392,304.056
Yangyang,1,23,2872.728,72.078,311.472
Yangyang,1,24,2941.5168,73.764,318.888
Yangyang,1,25,3010.3056,75.448,326.304
Yangyang,1,26,3079.0944,77.134,333.72
Yangyang,1,27,3147.8016,78.82,341.136
Yangyang,1,28,3216.5904,80.504,348.552
Yangyang,1,29,3285.3792,82.19,355.968
Yangyang,1,30,3354.0864,83.876,363.384
Yangyang,1,31,3422.8752,85.56,370.8
Yangyang,1,32,3491.664,87.246,378.216
Yangyang,1,33,3560.3712,88.932,385.632
Yangyang,1,34,3629.16,90.616,393.048
Yangyang,1,35,3697.9488,92.302,400.464
Yangyang,1,36,3766.7376,93.988,407.88
Yangyang,1,37,3835.4448,95.674,415.296
Yangyang,1,38,3904.2336,97.358,422.712
Yangyang,1,39,3973.0224,99.044,430.128
Yangyang,1,40,4041.7296,100.73,437.544
Yangyang,2,40,4585.7568,115.73,495.873
Yangyang,2,41,4654.5456,117.414,503.289
Yangyang,2,42,4723.2528,119.1,510.705
Yangyang,2,43,4792.0416,120.786,518.121
Yangyang,2,44,4860.8304,122.47,525.537
Yangyang,2,45,4929.5376,124.156,532.953
Yangyang,2,46,4998.3264,125.842,540.369
Yangyang,2,47,5067.1152,127.528,547.785
Yangyang,2,48,5135.904,129.212,555.201
Yangyang,2,49,5204.6112,130.898,562.617
Yangyang,2,50,5273.4,132.584,570.033
Yangyang,3,50,5817.4272,147.584,628.362
Yangyang,3,51,5886.1344,149.268,635.778
Yangyang,3,52,5954.9232,150.954,643.194
Yangyang,3,53,6023.712,152.64,650.61
Yangyang,3,54,6092.4192,154.324,658.026
Yangyang,3,55,6161.208,156.01,665.442
Yangyang,3,56,6229.9968,157.696,672.858
Yangyang,3,57,6298.7856,159.382,680.274
Yangyang,3,58,6367.4928,161.066,687.69
Yangyang,3,59,6436.2816,162.752,695.106
Yangyang,3,60,6505.0704,164.438,702.522
Yangyang,4,60,7049.016,179.438,760.86
Yangyang,4,61,7117.8048,181.122,768.276
Yangyang,4,62,7186.5936,182.808,775.692
Yangyang,4,63,7255.3008,184.494,783.108
Yangyang,4,64,7324.0896,186.178,790.524
Yangyang,4,65,7392.8784,187.864,797.94
Yangyang,4,66,7461.5856,189.55,805.347
Yangyang,4,67,7530.3744,191.234,812.763
Yangyang,4,68,7599.1632,192.92,820.179
Yangyang,4,69,7667.952,194.606,827.595
Yangyang,4,70,7736.6592,196.292,835.011
Yangyang,5,70,8280.6864,206.292,893.349
Yangyang,5,71,8349.4752,207.976,900.765
Yangyang,5,72,8418.1824,209.662,908.181
Yangyang,5,73,8486.9712,211.348,915.597
Yangyang,5,74,8555.76,213.032,923.013
Yangyang,5,75,8624.4672,214.718,930.429
Yangyang,5,76,8693.256,216.404,937.845
Yangyang,5,77,8762.0448,218.088,945.261
Yangyang,5,78,8830.752,219.774,952.677
Yangyang,5,79,8899.5408,221.46,960.093
Yangyang,5,80,8968.3296,223.146,967.509
Yangyang,6,80,9512.3568,233.146,1025.838
Yangyang,6,81,9581.064,234.83,1033.254
Yangyang,6,82,9649.8528,236.516,1040.67
Yangyang,6,83,9718.6416,238.202,1048.086
Yangyang,6,84,9787.3488,239.886,1055.502
Yangyang,6,85,9856.1376,241.572,1062.918
Yangyang,6,86,9924.9264,243.258,1070.334
Yangyang,6,87,9993.6336,244.942,1077.75
Yangyang,6,88,10062.4224,246.628,1085.166
Yangyang,6,89,10131.2112,248.314,1092.582
Yangyang,6,90,10200.0,250.0,1099.998
