Name,Ascension,Level,Hp,Atk,Def
Yinlin,0,1,880.0,32.0,105.0
Yinlin,0,2,954.096,34.6944,113.6415
Yinlin,0,3,1028.28,37.392,122.2935
Yinlin,0,4,1102.464,40.0896,130.9455
Yinlin,0,5,1176.56,42.784,139.5975
Yinlin,0,6,1250.744,45.4816,148.2495
Yinlin,0,7,1324.928,48.1792,156.9015
Yinlin,0,8,1399.024,50.8736,165.5535
Yinlin,0,9,1473.208,53.5712,174.2055
Yinlin,0,10,1547.392,56.2688,182.8575
Yinlin,0,11,1621.488,58.9632,191.5095
Yinlin,0,12,1695.672,61.6608,200.1615
Yinlin,0,13,1769.856,64.3584,208.8135
Yinlin,0,14,1844.04,67.056,217.4655
Yinlin,0,15,1918.136,69.7504,226.1175
Yinlin,0,16,1992.32,72.448,234.7695
Yinlin,0,17,2066.504,75.1456,243.4215
Yinlin,0,18,2140.6,77.84,252.0735
Yinlin,0,19,2214.784,80.5376,260.7255
Yinlin,0,20,2288.968,83.2352,269.3775
Yinlin,1,20,2875.576,107.2352,337.428
Yinlin,1,21,2949.76,109.9296,346.08
Yinlin,1,22,3023.944,112.6272,354.732
Yinlin,1,23,3098.04,115.3248,363.384
Yinlin,1,24,3172.224,118.0224,372.036
Yinlin,1,25,3246.408,120.7168,380.688
Yinlin,1,26,3320.592,123.4144,389.34
Yinlin,1,27,3394.688,126.112,397.992
Yinlin,1,28,3468.872,128.8064,406.644
Yinlin,1,29,3543.056,131.504,415.296
Yinlin,1,30,3617.152,134.2016,423.948
Yinlin,1,31,3691.336,136.896,432.6
Yinlin,1,32,3765.52,139.5936,441.252
Yinlin,1,33,3839.616,142.2912,449.904
Yinlin,1,34,3913.8,144.9856,458.556
Yinlin,1,35,3987.984,147.6832,467.208
Yinlin,1,36,4062.168,150.3808,475.86
Yinlin,1,37,4136.264,153.0784,484.512
Yinlin,1,38,4210.448,155.7728,493.164
Yinlin,1,39,4284.632,158.4704,501.816
Yinlin,1,40,4358.728,161.168,510.468
Yinlin,2,40,4945.424,185.168,578.5185
Yinlin,2,41,5019.608,187.8624,587.1705
Yinlin,2,42,5093.704,190.56,595.8225
Yinlin,2,43,5167.888,193.2576,604.4745
Yinlin,2,44,5242.072,195.952,613.1265
Yinlin,2,45,5316.168,198.6496,621.7785
Yinlin,2,46,5390.352,201.3472,630.4305
Yinlin,2,47,5464.536,204.0448,639.0825
Yinlin,2,48,5538.72,206.7392,647.7345
Yinlin,2,49,5612.816,209.4368,656.3865
Yinlin,2,50,5687.0,212.1344,665.0385
Yinlin,3,50,6273.696,236.1344,733.089
Yinlin,3,51,6347.792,238.8288,741.741
Yinlin,3,52,6421.976,241.5264,750.393
Yinlin,3,53,6496.16,244.224,759.045
Yinlin,3,54,6570.256,246.9184,767.697
Yinlin,3,55,6644.44,249.616,776.349
Yinlin,3,56,6718.624,252.3136,785.001
Yinlin,3,57,6792.808,255.0112,793.653
Yinlin,3,58,6866.904,257.7056,802.305
Yinlin,3,59,6941.088,260.4032,810.957
Yinlin,3,60,7015.272,263.1008,819.609
Yinlin,4,60,7601.88,287.1008,887.67
Yinlin,4,61,7676.064,289.7952,896.322
Yinlin,4,62,7750.248,292.4928,904.974
Yinlin,4,63,7824.344,295.1904,913.626
Yinlin,4,64,7898.528,297.8848,922.278
Yinlin,4,65,7972.712,300.5824,930.93
Yinlin,4,66,8046.808,303.28,939.5715
Yinlin,4,67,8120.992,305.9744,948.2235
Yinlin,4,68,8195.176,308.672,956.8755
Yinlin,4,69,8269.36,311.3696,965.5275
Yinlin,4,70,8343.456,314.0672,974.1795
Yinlin,5,70,8930.152,330.0672,1042.2405
Yinlin,5,71,9004.336,332.7616,1050.8925
Yinlin,5,72,9078.432,335.4592,1059.5445
Yinlin,5,73,9152.616,338.1568,1068.1965
Yinlin,5,74,9226.8,340.8512,1076.8485
Yinlin,5,75,9300.896,343.5488,1085.5005
Yinlin,5,76,9375.08,346.2464,1094.1525
Yinlin,5,77,9449.264,348.9408,1102.8045
Yinlin,5,78,9523.36,351.6384,1111.4565
Yinlin,5,79,9597.544,354.336,1120.1085
Yinlin,5,80,9671.728,357.0336,1128.7605
Yinlin,6,80,10258.424,373.0336,1196.811
Yinlin,6,81,10332.52,375.728,1205.463
Yinlin,6,82,10406.704,378.4256,1214.115
Yinlin,6,83,10480.888,381.1232,1222.767
Yinlin,6,84,10554.984,383.8176,1231.419
Yinlin,6,85,10629.168,386.5152,1240.071
Yinlin,6,86,10703.352,389.2128,1248.723
Yinlin,6,87,10777.448,391.9072,1257.375
Yinlin,6,88,10851.632,394.6048,1266.027
Yinlin,6,89,10925.816,397.3024,1274.679
Yinlin,6,90,11000.0,400.0,1283.331
