Name,Ascension,Level,Hp,Atk,Def
Youhu,0,1,798.0,21.0,86.0
Youhu,0,2,865.1916,22.7682,93.0778
Youhu,0,3,932.463,24.5385,100.1642
Youhu,0,4,999.7344,26.3088,107.2506
Youhu,0,5,1066.926,28.077,114.337
Youhu,0,6,1134.1974,29.8473,121.4234
Youhu,0,7,1201.4688,31.6176,128.5098
Youhu,0,8,1268.6604,33.3858,135.5962
Youhu,0,9,1335.9318,35.1561,142.6826
Youhu,0,10,1403.2032,36.9264,149.769
Youhu,0,11,1470.3948,38.6946,156.8554
Youhu,0,12,1537.6662,40.4649,163.9418
Youhu,0,13,1604.9376,42.2352,171.0282
Youhu,0,14,1672.209,44.0055,178.1146
Youhu,0,15,1739.4006,45.7737,185.201
Youhu,0,16,1806.672,47.544,192.2874
Youhu,0,17,1873.9434,49.3143,199.3738
Youhu,0,18,1941.135,51.0825,206.4602
Youhu,0,19,2008.4064,52.8528,213.5466
Youhu,0,20,2075.6778,54.6231,220.633
Youhu,1,20,2607.6246,70.3731,276.3696
Youhu,1,21,2674.896,72.1413,283.456
Youhu,1,22,2742.1674,73.9116,290.5424
Youhu,1,23,2809.359,75.6819,297.6288
Youhu,1,24,2876.6304,77.4522,304.7152
Youhu,1,25,2943.9018,79.2204,311.8016
Youhu,1,26,3011.1732,80.9907,318.888
Youhu,1,27,3078.3648,82.761,325.9744
Youhu,1,28,3145.6362,84.5292,333.0608
Youhu,1,29,3212.9076,86.2995,340.1472
Youhu,1,30,3280.0992,88.0698,347.2336
Youhu,1,31,3347.3706,89.838,354.32
Youhu,1,32,3414.642,91.6083,361.4064
Youhu,1,33,3481.8336,93.3786,368.4928
Youhu,1,34,3549.105,95.1468,375.5792
Youhu,1,35,3616.3764,96.9171,382.6656
Youhu,1,36,3683.6478,98.6874,389.752
Youhu,1,37,3750.8394,100.4577,396.8384
Youhu,1,38,3818.1108,102.2259,403.9248
Youhu,1,39,3885.3822,103.9962,411.0112
Youhu,1,40,3952.5738,105.7665,418.0976
Youhu,2,40,4484.6004,121.5165,473.8342
Youhu,2,41,4551.8718,123.2847,480.9206
Youhu,2,42,4619.0634,125.055,488.007
Youhu,2,43,4686.3348,126.8253,495.0934
Youhu,2,44,4753.6062,128.5935,502.1798
Youhu,2,45,4820.7978,130.3638,509.2662
Youhu,2,46,4888.0692,132.1341,516.3526
Youhu,2,47,4955.3406,133.9044,523.439
Youhu,2,48,5022.612,135.6726,530.5254
Youhu,2,49,5089.8036,137.4429,537.6118
Youhu,2,50,5157.075,139.2132,544.6982
Youhu,3,50,5689.1016,154.9632,600.4348
Youhu,3,51,5756.2932,156.7314,607.5212
Youhu,3,52,5823.5646,158.5017,614.6076
Youhu,3,53,5890.836,160.272,621.694
Youhu,3,54,5958.0276,162.0402,628.7804
Youhu,3,55,6025.299,163.8105,635.8668
Youhu,3,56,6092.5704,165.5808,642.9532
Youhu,3,57,6159.8418,167.3511,650.0396
Youhu,3,58,6227.0334,169.1193,657.126
Youhu,3,59,6294.3048,170.8896,664.2124
Youhu,3,60,6361.5762,172.6599,671.2988
Youhu,4,60,6893.523,188.4099,727.044
Youhu,4,61,6960.7944,190.1781,734.1304
Youhu,4,62,7028.0658,191.9484,741.2168
Youhu,4,63,7095.2574,193.7187,748.3032
Youhu,4,64,7162.5288,195.4869,755.3896
Youhu,4,65,7229.8002,197.2572,762.476
Youhu,4,66,7296.9918,199.0275,769.5538
Youhu,4,67,7364.2632,200.7957,776.6402
Youhu,4,68,7431.5346,202.566,783.7266
Youhu,4,69,7498.806,204.3363,790.813
Youhu,4,70,7565.9976,206.1066,797.8994
Youhu,5,70,8098.0242,216.6066,853.6446
Youhu,5,71,8165.2956,218.3748,860.731
Youhu,5,72,8232.4872,220.1451,867.8174
Youhu,5,73,8299.7586,221.9154,874.9038
Youhu,5,74,8367.03,223.6836,881.9902
Youhu,5,75,8434.2216,225.4539,889.0766
Youhu,5,76,8501.493,227.2242,896.163
Youhu,5,77,8568.7644,228.9924,903.2494
Youhu,5,78,8635.956,230.7627,910.3358
Youhu,5,79,8703.2274,232.533,917.4222
Youhu,5,80,8770.4988,234.3033,924.5086
Youhu,6,80,9302.5254,244.8033,980.2452
Youhu,6,81,9369.717,246.5715,987.3316
Youhu,6,82,9436.9884,248.3418,994.418
Youhu,6,83,9504.2598,250.1121,1001.5044
Youhu,6,84,9571.4514,251.8803,1008.5908
Youhu,6,85,9638.7228,253.6506,1015.6772
Youhu,6,86,9705.9942,255.4209,1022.7636
Youhu,6,87,9773.1858,257.1891,1029.85
Youhu,6,88,9840.4572,258.9594,1036.9364
Youhu,6,89,9907.7286,260.7297,1044.0228
Youhu,6,90,9975.0,262.5,1051.1092
