Name,Ascension,Level,Hp,Atk,Def
Yuanwu,0,1,682.0,18.0,134.0
Yuanwu,0,2,739.4244,19.5156,145.0282
Yuanwu,0,3,796.917,21.033,156.0698
Yuanwu,0,4,854.4096,22.5504,167.1114
Yuanwu,0,5,911.834,24.066,178.153
Yuanwu,0,6,969.3266,25.5834,189.1946
Yuanwu,0,7,1026.8192,27.1008,200.2362
Yuanwu,0,8,1084.2436,28.6164,211.2778
Yuanwu,0,9,1141.7362,30.1338,222.3194
Yuanwu,0,10,1199.2288,31.6512,233.361
Yuanwu,0,11,1256.6532,33.1668,244.4026
Yuanwu,0,12,1314.1458,34.6842,255.4442
Yuanwu,0,13,1371.6384,36.2016,266.4858
Yuanwu,0,14,1429.131,37.719,277.5274
Yuanwu,0,15,1486.5554,39.2346,288.569
Yuanwu,0,16,1544.048,40.752,299.6106
Yuanwu,0,17,1601.5406,42.2694,310.6522
Yuanwu,0,18,1658.965,43.785,321.6938
Yuanwu,0,19,1716.4576,45.3024,332.7354
Yuanwu,0,20,1773.9502,46.8198,343.777
Yuanwu,1,20,2228.5714,60.3198,430.6224
Yuanwu,1,21,2286.064,61.8354,441.664
Yuanwu,1,22,2343.5566,63.3528,452.7056
Yuanwu,1,23,2400.981,64.8702,463.7472
Yuanwu,1,24,2458.4736,66.3876,474.7888
Yuanwu,1,25,2515.9662,67.9032,485.8304
Yuanwu,1,26,2573.4588,69.4206,496.872
Yuanwu,1,27,2630.8832,70.938,507.9136
Yuanwu,1,28,2688.3758,72.4536,518.9552
Yuanwu,1,29,2745.8684,73.971,529.9968
Yuanwu,1,30,2803.2928,75.4884,541.0384
Yuanwu,1,31,2860.7854,77.004,552.08
Yuanwu,1,32,2918.278,78.5214,563.1216
Yuanwu,1,33,2975.7024,80.0388,574.1632
Yuanwu,1,34,3033.195,81.5544,585.2048
Yuanwu,1,35,3090.6876,83.0718,596.2464
Yuanwu,1,36,3148.1802,84.5892,607.288
Yuanwu,1,37,3205.6046,86.1066,618.3296
Yuanwu,1,38,3263.0972,87.6222,629.3712
Yuanwu,1,39,3320.5898,89.1396,640.4128
Yuanwu,1,40,3378.0142,90.657,651.4544
Yuanwu,2,40,3832.7036,104.157,738.2998
Yuanwu,2,41,3890.1962,105.6726,749.3414
Yuanwu,2,42,3947.6206,107.19,760.383
Yuanwu,2,43,4005.1132,108.7074,771.4246
Yuanwu,2,44,4062.6058,110.223,782.4662
Yuanwu,2,45,4120.0302,111.7404,793.5078
Yuanwu,2,46,4177.5228,113.2578,804.5494
Yuanwu,2,47,4235.0154,114.7752,815.591
Yuanwu,2,48,4292.508,116.2908,826.6326
Yuanwu,2,49,4349.9324,117.8082,837.6742
Yuanwu,2,50,4407.425,119.3256,848.7158
Yuanwu,3,50,4862.1144,132.8256,935.5612
Yuanwu,3,51,4919.5388,134.3412,946.6028
Yuanwu,3,52,4977.0314,135.8586,957.6444
Yuanwu,3,53,5034.524,137.376,968.686
Yuanwu,3,54,5091.9484,138.8916,979.7276
Yuanwu,3,55,5149.441,140.409,990.7692
Yuanwu,3,56,5206.9336,141.9264,1001.8108
Yuanwu,3,57,5264.4262,143.4438,1012.8524
Yuanwu,3,58,5321.8506,144.9594,1023.894
Yuanwu,3,59,5379.3432,146.4768,1034.9356
Yuanwu,3,60,5436.8358,147.9942,1045.9772
Yuanwu,4,60,5891.457,161.4942,1132.836
Yuanwu,4,61,5948.9496,163.0098,1143.8776
Yuanwu,4,62,6006.4422,164.5272,1154.9192
Yuanwu,4,63,6063.8666,166.0446,1165.9608
Yuanwu,4,64,6121.3592,167.5602,1177.0024
Yuanwu,4,65,6178.8518,169.0776,1188.044
Yuanwu,4,66,6236.2762,170.595,1199.0722
Yuanwu,4,67,6293.7688,172.1106,1210.1138
Yuanwu,4,68,6351.2614,173.628,1221.1554
Yuanwu,4,69,6408.754,175.1454,1232.197
Yuanwu,4,70,6466.1784,176.6628,1243.2386
Yuanwu,5,70,6920.8678,185.6628,1330.0974
Yuanwu,5,71,6978.3604,187.1784,1341.139
Yuanwu,5,72,7035.7848,188.6958,1352.1806
Yuanwu,5,73,7093.2774,190.2132,1363.2222
Yuanwu,5,74,7150.77,191.7288,1374.2638
Yuanwu,5,75,7208.1944,193.2462,1385.3054
Yuanwu,5,76,7265.687,194.7636,1396.347
Yuanwu,5,77,7323.1796,196.2792,1407.3886
Yuanwu,5,78,7380.604,197.7966,1418.4302
Yuanwu,5,79,7438.0966,199.314,1429.4718
Yuanwu,5,80,7495.5892,200.8314,1440.5134
Yuanwu,6,80,7950.2786,209.8314,1527.3588
Yuanwu,6,81,8007.703,211.347,1538.4004
Yuanwu,6,82,8065.1956,212.8644,1549.442
Yuanwu,6,83,8122.6882,214.3818,1560.4836
Yuanwu,6,84,8180.1126,215.8974,1571.5252
Yuanwu,6,85,8237.6052,217.4148,1582.5668
Yuanwu,6,86,8295.0978,218.9322,1593.6084
Yuanwu,6,87,8352.5222,220.4478,1604.65
Yuanwu,6,88,8410.0148,221.9652,1615.6916
Yuanwu,6,89,8467.5074,223.4826,1626.7332
Yuanwu,6,90,8525.0,225.0,1637.7748
