Name,Ascension,Level,Hp,Atk,Def
Zhezhi,0,1,980.0,30.0,98.0
Zhezhi,0,2,1062.516,32.526,106.0654
Zhezhi,0,3,1145.13,35.055,114.1406
Zhezhi,0,4,1227.744,37.584,122.2158
Zhezhi,0,5,1310.26,40.11,130.291
Zhezhi,0,6,1392.874,42.639,138.3662
Zhezhi,0,7,1475.488,45.168,146.4414
Zhezhi,0,8,1558.004,47.694,154.5166
Zhezhi,0,9,1640.618,50.223,162.5918
Zhezhi,0,10,1723.232,52.752,170.667
Zhezhi,0,11,1805.748,55.278,178.7422
Zhezhi,0,12,1888.362,57.807,186.8174
Zhezhi,0,13,1970.976,60.336,194.8926
Zhezhi,0,14,2053.59,62.865,202.9678
Zhezhi,0,15,2136.106,65.391,211.043
Zhezhi,0,16,2218.72,67.92,219.1182
Zhezhi,0,17,2301.334,70.449,227.1934
Zhezhi,0,18,2383.85,72.975,235.2686
Zhezhi,0,19,2466.464,75.504,243.3438
Zhezhi,0,20,2549.078,78.033,251.419
Zhezhi,1,20,3202.346,100.533,314.9328
Zhezhi,1,21,3284.96,103.059,323.008
Zhezhi,1,22,3367.574,105.588,331.0832
Zhezhi,1,23,3450.09,108.117,339.1584
Zhezhi,1,24,3532.704,110.646,347.2336
Zhezhi,1,25,3615.318,113.172,355.3088
Zhezhi,1,26,3697.932,115.701,363.384
Zhezhi,1,27,3780.448,118.23,371.4592
Zhezhi,1,28,3863.062,120.756,379.5344
Zhezhi,1,29,3945.676,123.285,387.6096
Zhezhi,1,30,4028.192,125.814,395.6848
Zhezhi,1,31,4110.806,128.34,403.76
Zhezhi,1,32,4193.42,130.869,411.8352
Zhezhi,1,33,4275.936,133.398,419.9104
Zhezhi,1,34,4358.55,135.924,427.9856
Zhezhi,1,35,4441.164,138.453,436.0608
Zhezhi,1,36,4523.778,140.982,444.136
Zhezhi,1,37,4606.294,143.511,452.2112
Zhezhi,1,38,4688.908,146.037,460.2864
Zhezhi,1,39,4771.522,148.566,468.3616
Zhezhi,1,40,4854.038,151.095,476.4368
Zhezhi,2,40,5507.404,173.595,539.9506
Zhezhi,2,41,5590.018,176.121,548.0258
Zhezhi,2,42,5672.534,178.65,556.101
Zhezhi,2,43,5755.148,181.179,564.1762
Zhezhi,2,44,5837.762,183.705,572.2514
Zhezhi,2,45,5920.278,186.234,580.3266
Zhezhi,2,46,6002.892,188.763,588.4018
Zhezhi,2,47,6085.506,191.292,596.477
Zhezhi,2,48,6168.12,193.818,604.5522
Zhezhi,2,49,6250.636,196.347,612.6274
Zhezhi,2,50,6333.25,198.876,620.7026
Zhezhi,3,50,6986.616,221.376,684.2164
Zhezhi,3,51,7069.132,223.902,692.2916
Zhezhi,3,52,7151.746,226.431,700.3668
Zhezhi,3,53,7234.36,228.96,708.442
Zhezhi,3,54,7316.876,231.486,716.5172
Zhezhi,3,55,7399.49,234.015,724.5924
Zhezhi,3,56,7482.104,236.544,732.6676
Zhezhi,3,57,7564.718,239.073,740.7428
Zhezhi,3,58,7647.234,241.599,748.818
Zhezhi,3,59,7729.848,244.128,756.8932
Zhezhi,3,60,7812.462,246.657,764.9684
Zhezhi,4,60,8465.73,269.157,828.492
Zhezhi,4,61,8548.344,271.683,836.5672
Zhezhi,4,62,8630.958,274.212,844.6424
Zhezhi,4,63,8713.474,276.741,852.7176
Zhezhi,4,64,8796.088,279.267,860.7928
Zhezhi,4,65,8878.702,281.796,868.868
Zhezhi,4,66,8961.218,284.325,876.9334
Zhezhi,4,67,9043.832,286.851,885.0086
Zhezhi,4,68,9126.446,289.38,893.0838
Zhezhi,4,69,9209.06,291.909,901.159
Zhezhi,4,70,9291.576,294.438,909.2342
Zhezhi,5,70,9944.942,309.438,972.7578
Zhezhi,5,71,10027.556,311.964,980.833
Zhezhi,5,72,10110.072,314.493,988.9082
Zhezhi,5,73,10192.686,317.022,996.9834
Zhezhi,5,74,10275.3,319.548,1005.0586
Zhezhi,5,75,10357.816,322.077,1013.1338
Zhezhi,5,76,10440.43,324.606,1021.209
Zhezhi,5,77,10523.044,327.132,1029.2842
Zhezhi,5,78,10605.56,329.661,1037.3594
Zhezhi,5,79,10688.174,332.19,1045.4346
Zhezhi,5,80,10770.788,334.719,1053.5098
Zhezhi,6,80,11424.154,349.719,1117.0236
Zhezhi,6,81,11506.67,352.245,1125.0988
Zhezhi,6,82,11589.284,354.774,1133.174
Zhezhi,6,83,11671.898,357.303,1141.2492
Zhezhi,6,84,11754.414,359.829,1149.3244
Zhezhi,6,85,11837.028,362.358,1157.3996
Zhezhi,6,86,11919.642,364.887,1165.4748
Zhezhi,6,87,12002.158,367.413,1173.55
Zhezhi,6,88,12084.772,369.942,1181.6252
Zhezhi,6,89,12167.386,372.471,1189.7004
Zhezhi,6,90,12250.0,375.0,1197.7756
